gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00000104	gene-ACACA	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	5.467185863987754e-4	TRUE	42
geneComp_00004500	gene-FGD4	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	7.84041528843352e-4	TRUE	43
geneComp_00061423	gene-ABCD4	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	8.18362616371865e-4	TRUE	44
geneComp_00078484	gene-SLC13A3	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	8.18362616371865e-4	TRUE	45
geneComp_00078815	gene-SMARCA1	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	8.18362616371865e-4	TRUE	46
geneComp_00053567	gene-LRRC61	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	8.815432216844817e-4	TRUE	47
geneComp_00054050	gene-MFSD2A	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	9.95368191654004e-4	TRUE	48
geneComp_00059538	gene-TMEM11	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0011976560427471828	TRUE	49
geneComp_00116208	gene-NFYB	NA	Liver_PDExp_NotFed	Liver_PDExp_Hib	0.0012273221562273604	TRUE	50
geneComp_00095669	gene-NECAP1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0012301392388312038	TRUE	51
geneComp_00017127	gene-SLC16A12	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0013804599970823552	TRUE	52
geneComp_00008480	gene-LOC113256587	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0013865671173502263	TRUE	53
geneComp_00057184	gene-RNF13	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0014372267029771103	TRUE	54
geneComp_00017804	gene-SRD5A1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.001516802555594216	TRUE	55
geneComp_00094781	gene-MBNL2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.001600132141121811	TRUE	56
geneComp_00004708	gene-FUBP1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0016181794319999891	TRUE	57
geneComp_00056247	gene-PPP2CA	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0017738721162852838	TRUE	58
geneComp_00020747	gene-ADGRF5	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hyp	0.0018141549249929543	TRUE	59
geneComp_00084503	gene-CPSF1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0023300382147076956	TRUE	60
geneComp_00088434	gene-LATS1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.002457763666334971	TRUE	61
geneComp_00060529	gene-VDAC3	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0026057927659280736	TRUE	62
geneComp_00011975	gene-LOC125282808	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.002744802104580272	TRUE	63
geneComp_00041384	gene-ALG12	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0027891481205372113	TRUE	64
geneComp_00102257	gene-ZSCAN29	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0030491146448123766	TRUE	65
geneComp_00019617	gene-VDAC3	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.0030675672155000555	TRUE	66
geneComp_00097679	gene-RAD21	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0030917923398693027	TRUE	67
geneComp_00002261	gene-CHID1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.003360182407968992	TRUE	68
geneComp_00094408	gene-LRBA	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0035244494690002213	TRUE	69
geneComp_00078515	gene-SLC18B1	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	0.003627532642563385	TRUE	70
geneComp_00088452	gene-LCP1	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.003743876010855603	TRUE	71
geneComp_00076851	gene-PRPF4B	NA	Liver_PDExp_Fed	Liver_PDExp_Hib	0.004007197639665342	TRUE	72
geneComp_00087376	gene-HLTF	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.0043024806228579284	TRUE	73
geneComp_00099879	gene-SUPT5H	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.005612851757290936	TRUE	74
geneComp_00038788	gene-TDRD3	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hyp	0.006048147724226631	TRUE	75
geneComp_00041060	gene-ACOT9	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.006142806197823897	TRUE	76
geneComp_00121385	gene-TRIP12	NA	Liver_PDExp_NotFed	Liver_PDExp_Hib	0.006198921552376346	TRUE	77
geneComp_00016272	gene-RNF13	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	0.006564324788536452	TRUE	78
geneComp_00042294	gene-BRD8	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.0067284967794760024	TRUE	79
geneComp_00101426	gene-VASH2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	0.007232386999409449	TRUE	80
geneComp_00045117	gene-FAM107B	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.008197060715921996	TRUE	81
geneComp_00041016	gene-ACACA	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	0.008356476842815713	TRUE	82
